,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7
230,0.20661157,0.28099173,0.3677686,0.39256197,0.6818182,0.71487606,0.7231405,0.73966944
94,0.10330579,0.21900827,0.17768595,0.21900827,0.39256197,0.57438016,0.6694215,0.6818182
269,0.39256197,0.4752066,0.661157,0.59090906,0.47107437,0.54545456,0.6735537,0.74793386
70,0.20661157,0.2768595,0.3553719,0.38429752,0.42561984,0.45041323,0.46694216,0.47933885
79,0.20661157,0.20661157,0.20661157,0.17355372,0.11983471,0.21900827,0.34710744,0.4338843
138,0.3264463,0.1983471,0.21487603,0.23966943,0.2603306,0.28099173,0.33471075,0.38429752
39,0.4090909,0.5,0.6198347,0.61157024,0.6198347,0.60330576,0.677686,0.7231405
148,0.54545456,0.57438016,0.59504133,0.607438,0.61570245,0.6528926,0.6859504,0.6818182
22,0.553719,0.59917355,0.6198347,0.62396693,0.6363636,0.6528926,0.6859504,0.6859504
119,0.6280992,0.6570248,0.6487603,0.6570248,0.6818182,0.677686,0.72727275,0.74380165
189,0.30165288,0.30991736,0.338843,0.3677686,0.39256197,0.46694216,0.5785124,0.6363636
194,0.6363636,0.677686,0.6694215,0.661157,0.6528926,0.6942149,0.72727275,0.76033056
107,0.4338843,0.5247934,0.6942149,0.7644628,0.77272725,0.7933884,0.8140496,0.80991733
345,0.42561984,0.45454547,0.47107437,0.4876033,0.5165289,0.5,0.5289256,0.5413223
128,0.55785125,0.6363636,0.6735537,0.6818182,0.6735537,0.6942149,0.72727275,0.73966944
297,0.45454547,0.42975205,0.5371901,0.61157024,0.6528926,0.70247936,0.72727275,0.7355372
199,0.12396694,0.10330579,0.11570248,0.11570248,0.11157025,0.13636364,0.18595041,0.33471075
329,0.4752066,0.49173555,0.5,0.5123967,0.5247934,0.5289256,0.54545456,0.59090906
221,0.2768595,0.38016528,0.4876033,0.53305787,0.5371901,0.553719,0.58264464,0.61157024
24,0.1983471,0.23553719,0.35123968,0.4090909,0.4214876,0.42975205,0.5,0.5289256
129,0.37190083,0.42975205,0.47107437,0.5165289,0.5371901,0.5661157,0.6198347,0.6322314
256,0.56198347,0.6652893,0.6983471,0.6983471,0.73140496,0.7231405,0.72727275,0.75206614
273,0.21900827,0.20661157,0.20661157,0.19421488,0.18181819,0.21900827,0.2107438,0.2603306
165,0.3264463,0.48347107,0.5247934,0.59917355,0.6652893,0.70247936,0.70247936,0.7107438
175,0.61157024,0.72727275,0.74380165,0.7644628,0.7644628,0.77272725,0.77272725,0.79752064
77,0.5247934,0.5371901,0.5785124,0.6280992,0.6694215,0.69008267,0.6859504,0.6942149
38,0.77272725,0.8057851,0.79752064,0.75206614,0.76859504,0.78512394,0.78512394,0.7768595
7,0.2520661,0.24380165,0.23966943,0.30165288,0.35950413,0.47933885,0.75206614,0.8264463
339,0.1983471,0.19421488,0.19421488,0.19421488,0.19008264,0.19008264,0.24380165,0.40495867
87,0.3553719,0.46280992,0.5661157,0.6363636,0.6694215,0.6735537,0.6735537,0.6983471
264,0.57024795,0.59917355,0.6487603,0.6652893,0.677686,0.71487606,0.7355372,0.73966944
314,0.28512397,0.23553719,0.23553719,0.29752067,0.5206612,0.6735537,0.71900827,0.71900827
271,0.10330579,0.12809917,0.23140496,0.36363637,0.5123967,0.60330576,0.6487603,0.6859504
0,0.2520661,0.23140496,0.2768595,0.41735536,0.4338843,0.6694215,0.8347107,0.8595041
176,0.2520661,0.21900827,0.22727273,0.27272728,0.3181818,0.38842976,0.45867768,0.5041322
224,0.5413223,0.58677685,0.6404959,0.661157,0.6859504,0.6859504,0.69008267,0.6983471
100,0.5289256,0.79752064,0.8264463,0.822314,0.822314,0.8181818,0.8057851,0.8181818
58,0.40082645,0.49586776,0.57024795,0.6322314,0.6487603,0.6404959,0.661157,0.6363636
191,0.553719,0.607438,0.6363636,0.6487603,0.6528926,0.6487603,0.6735537,0.71487606
385,0.47107437,0.55785125,0.6446281,0.5785124,0.4090909,0.60330576,0.74380165,0.8181818
398,0.7933884,0.7892562,0.78099173,0.78512394,0.7892562,0.78512394,0.78512394,0.78512394
171,0.8057851,0.822314,0.8347107,0.8347107,0.838843,0.8429752,0.838843,0.838843
229,0.3140496,0.29752067,0.2768595,0.22727273,0.19421488,0.16115703,0.13636364,0.12809917
110,0.49586776,0.53305787,0.5785124,0.60330576,0.57438016,0.61570245,0.61157024,0.6404959
270,0.13636364,0.12809917,0.12396694,0.11983471,0.11983471,0.10743801,0.12809917,0.14049587
343,0.49173555,0.446281,0.5041322,0.5041322,0.5247934,0.58677685,0.5371901,0.6280992
16,0.76033056,0.78099173,0.7644628,0.76859504,0.7768595,0.7768595,0.7892562,0.7892562
41,0.77272725,0.7644628,0.75206614,0.7644628,0.78512394,0.7933884,0.79752064,0.80991733
383,0.49586776,0.4876033,0.62396693,0.7231405,0.446281,0.4876033,0.6859504,0.8016529
227,0.5165289,0.46280992,0.28099173,0.2520661,0.24793388,0.3677686,0.57438016,0.61570245
259,0.12396694,0.1322314,0.11157025,0.11157025,0.11983471,0.13636364,0.13636364,0.13636364
351,0.78099173,0.8181818,0.8305785,0.8347107,0.8429752,0.8429752,0.8264463,0.8016529
235,0.47933885,0.53305787,0.5661157,0.59090906,0.59090906,0.59090906,0.60330576,0.607438
372,0.338843,0.45867768,0.6818182,0.77272725,0.78512394,0.8140496,0.838843,0.8512397
113,0.40082645,0.5165289,0.56198347,0.62396693,0.6859504,0.6983471,0.7231405,0.73966944
71,0.18595041,0.3429752,0.5123967,0.57024795,0.6280992,0.61570245,0.6528926,0.661157
254,0.5206612,0.553719,0.57438016,0.58264464,0.59504133,0.62396693,0.6446281,0.661157
32,0.6570248,0.677686,0.6983471,0.7066116,0.70247936,0.7107438,0.70247936,0.6818182
86,0.6404959,0.6818182,0.71900827,0.73140496,0.73966944,0.7644628,0.7768595,0.78512394
114,0.5082645,0.6280992,0.6694215,0.40495867,0.53305787,0.6983471,0.7933884,0.8553719
15,0.75206614,0.7933884,0.8181818,0.822314,0.838843,0.8429752,0.8512397,0.8512397
146,0.54545456,0.58264464,0.59090906,0.59090906,0.61157024,0.6363636,0.6446281,0.6570248
296,0.1322314,0.20247933,0.41322315,0.54545456,0.59917355,0.59917355,0.59090906,0.57438016
108,0.5165289,0.45867768,0.29752067,0.27272728,0.20661157,0.37603307,0.5661157,0.6446281
309,0.2520661,0.2520661,0.2520661,0.2520661,0.25619835,0.23966943,0.23553719,0.23553719
30,0.19421488,0.2231405,0.3140496,0.5,0.6363636,0.7355372,0.79752064,0.8264463
46,0.1983471,0.2231405,0.23553719,0.18595041,0.2603306,0.47933885,0.5165289,0.53305787
237,0.1694215,0.29338843,0.56198347,0.677686,0.72727275,0.75619835,0.76859504,0.78512394
213,0.38429752,0.5082645,0.6198347,0.7231405,0.7644628,0.7768595,0.79752064,0.8140496
195,0.5082645,0.5206612,0.5371901,0.5247934,0.5247934,0.5206612,0.553719,0.607438
37,0.44214877,0.5785124,0.7066116,0.7768595,0.7892562,0.7768595,0.7892562,0.8016529
184,0.6652893,0.7768595,0.7892562,0.8016529,0.8181818,0.8016529,0.7933884,0.79752064
76,0.45454547,0.49586776,0.54545456,0.59504133,0.6198347,0.59917355,0.59917355,0.6322314
28,0.38429752,0.38429752,0.34710744,0.21900827,0.16528925,0.11157025,0.18595041,0.4338843
219,0.5495868,0.5371901,0.49586776,0.58264464,0.59917355,0.58264464,0.59504133,0.6570248
268,0.4752066,0.5206612,0.5371901,0.5661157,0.55785125,0.56198347,0.5785124,0.607438
292,0.38842976,0.46280992,0.553719,0.70247936,0.76033056,0.76859504,0.76859504,0.7768595
59,0.60330576,0.6322314,0.6528926,0.6735537,0.677686,0.6983471,0.73140496,0.74380165
265,0.4338843,0.47933885,0.5206612,0.5661157,0.59090906,0.607438,0.62396693,0.6322314
388,0.6983471,0.78099173,0.8057851,0.78512394,0.78512394,0.79752064,0.7933884,0.7933884
363,0.5041322,0.5371901,0.5289256,0.57438016,0.5206612,0.5082645,0.54545456,0.58677685
125,0.1446281,0.12396694,0.11570248,0.11157025,0.12396694,0.12809917,0.1322314,0.12396694
75,0.14876033,0.20661157,0.19421488,0.19421488,0.2603306,0.3429752,0.40082645,0.41735536
97,0.76033056,0.76859504,0.76033056,0.7768595,0.78099173,0.7892562,0.7933884,0.8140496
20,0.2892562,0.2892562,0.23553719,0.21900827,0.21900827,0.5206612,0.55785125,0.553719
242,0.30578512,0.3140496,0.21900827,0.2603306,0.30991736,0.35950413,0.38016528,0.45041323
324,0.15289256,0.17355372,0.26859504,0.34710744,0.39256197,0.42975205,0.45454547,0.48347107
208,0.38016528,0.23140496,0.24380165,0.5289256,0.7933884,0.77272725,0.7768595,0.78512394
159,0.28512397,0.29338843,0.29752067,0.29338843,0.21900827,0.10743801,0.3429752,0.5082645
92,0.4214876,0.4752066,0.5371901,0.5495868,0.54545456,0.55785125,0.57024795,0.59504133
143,0.42975205,0.5041322,0.6322314,0.6859504,0.6652893,0.661157,0.661157,0.6363636
355,0.5785124,0.60330576,0.6322314,0.6652893,0.677686,0.7107438,0.7231405,0.73966944
134,0.21900827,0.17768595,0.18181819,0.19421488,0.25619835,0.38429752,0.5,0.57024795
300,0.09917355,0.0661157,0.32231405,0.5165289,0.5785124,0.607438,0.6280992,0.6446281
290,0.45454547,0.3677686,0.23966943,0.23553719,0.36363637,0.5165289,0.5661157,0.58677685
179,0.59504133,0.6404959,0.61570245,0.6446281,0.6859504,0.7231405,0.73140496,0.7066116
6,0.41735536,0.48347107,0.5289256,0.5495868,0.57024795,0.55785125,0.5661157,0.59090906
83,0.38429752,0.5082645,0.59090906,0.59917355,0.607438,0.6404959,0.6942149,0.7107438
47,0.5289256,0.55785125,0.56198347,0.59917355,0.60330576,0.61570245,0.6363636,0.6487603
106,0.16528925,0.2231405,0.30165288,0.34710744,0.38429752,0.41322315,0.4338843,0.45454547
99,0.37603307,0.4752066,0.57438016,0.6404959,0.661157,0.6983471,0.7231405,0.74793386
153,0.3305785,0.30578512,0.3305785,0.35123968,0.42561984,0.5,0.60330576,0.6322314
82,0.3305785,0.35950413,0.2603306,0.19008264,0.1983471,0.2520661,0.29752067,0.36363637
308,0.18595041,0.25619835,0.6818182,0.892562,0.8719008,0.8719008,0.8677686,0.8719008
142,0.5206612,0.5206612,0.53305787,0.5661157,0.6280992,0.6694215,0.6942149,0.6942149
255,0.24380165,0.24380165,0.24793388,0.24793388,0.2520661,0.25619835,0.25619835,0.2107438
178,0.2892562,0.338843,0.41735536,0.5041322,0.553719,0.56198347,0.58264464,0.6280992
73,0.30165288,0.24793388,0.17768595,0.12396694,0.13636364,0.1983471,0.29752067,0.38429752
390,0.40495867,0.45454547,0.5,0.53305787,0.57024795,0.59090906,0.61157024,0.6280992
347,0.5247934,0.54545456,0.5123967,0.54545456,0.58677685,0.5785124,0.6322314,0.661157
304,0.45867768,0.54545456,0.59090906,0.6446281,0.661157,0.6652893,0.6859504,0.70247936
275,0.6570248,0.6487603,0.6528926,0.677686,0.7066116,0.7355372,0.7644628,0.7933884
220,0.71900827,0.72727275,0.7231405,0.71487606,0.7231405,0.73140496,0.73966944,0.76033056
105,0.24793388,0.34710744,0.46694216,0.5082645,0.57438016,0.61570245,0.6694215,0.6942149
74,0.21487603,0.28512397,0.42975205,0.47107437,0.53305787,0.5495868,0.58264464,0.6363636
126,0.42975205,0.4752066,0.5206612,0.5495868,0.553719,0.58677685,0.6280992,0.6528926
276,0.6363636,0.6528926,0.6694215,0.677686,0.6859504,0.70247936,0.6983471,0.70247936
318,0.7107438,0.72727275,0.73140496,0.7355372,0.74793386,0.76033056,0.78099173,0.77272725
116,0.17768595,0.14049587,0.11570248,0.13636364,0.17768595,0.3181818,0.47107437,0.54545456
26,0.23553719,0.35123968,0.446281,0.4876033,0.5413223,0.5785124,0.58677685,0.61157024
5,0.6528926,0.6652893,0.6735537,0.71900827,0.75206614,0.7644628,0.73966944,0.7768595
68,0.36363637,0.5495868,0.75206614,0.79752064,0.7933884,0.8347107,0.8636364,0.8677686
202,0.2892562,0.23966943,0.22727273,0.5289256,0.77272725,0.8264463,0.8347107,0.838843
181,0.28099173,0.35950413,0.40495867,0.446281,0.5495868,0.5785124,0.607438,0.6528926
177,0.13636364,0.10743801,0.09090909,0.11570248,0.11570248,0.11983471,0.18181819,0.41735536
13,0.5495868,0.54545456,0.5413223,0.5371901,0.5371901,0.53305787,0.5289256,0.53305787
327,0.5,0.59090906,0.6280992,0.6694215,0.6859504,0.7066116,0.7231405,0.73966944
342,0.5206612,0.5371901,0.553719,0.61157024,0.6363636,0.677686,0.7107438,0.71900827
210,0.78099173,0.7768595,0.77272725,0.76859504,0.7768595,0.7768595,0.78512394,0.78512394
1,0.5,0.54545456,0.58264464,0.62396693,0.6487603,0.69008267,0.6942149,0.71487606
323,0.22727273,0.21900827,0.21487603,0.17355372,0.30991736,0.58677685,0.70247936,0.73966944
135,0.46694216,0.4752066,0.45454547,0.49173555,0.49586776,0.4876033,0.57024795,0.59090906
378,0.45454547,0.5289256,0.6446281,0.74793386,0.78099173,0.78099173,0.8016529,0.822314
51,0.32231405,0.41322315,0.446281,0.49173555,0.53305787,0.55785125,0.58677685,0.61157024
338,0.5247934,0.5123967,0.553719,0.54545456,0.55785125,0.553719,0.60330576,0.661157
123,0.661157,0.74793386,0.7768595,0.7644628,0.838843,0.8140496,0.822314,0.80991733
4,0.4090909,0.59090906,0.6570248,0.6818182,0.6942149,0.73140496,0.76033056,0.78512394
387,0.607438,0.6652893,0.6983471,0.7355372,0.7231405,0.73140496,0.75206614,0.76033056
109,0.6280992,0.6446281,0.6735537,0.6983471,0.6983471,0.6983471,0.677686,0.69008267
158,0.36363637,0.29752067,0.25619835,0.2107438,0.2644628,0.57438016,0.6735537,0.6983471
95,0.1446281,0.12396694,0.11157025,0.11157025,0.12396694,0.12809917,0.13636364,0.12396694
52,0.3264463,0.46280992,0.553719,0.553719,0.553719,0.5413223,0.607438,0.6446281
231,0.37190083,0.4876033,0.5661157,0.58677685,0.59090906,0.61570245,0.6570248,0.6652893
9,0.09917355,0.11983471,0.1570248,0.21900827,0.34710744,0.49173555,0.5413223,0.57438016
25,0.2603306,0.3553719,0.6487603,0.822314,0.838843,0.8347107,0.8305785,0.8264463
98,0.23553719,0.2603306,0.39256197,0.6322314,0.8264463,0.8264463,0.8140496,0.822314
239,0.59090906,0.74793386,0.8264463,0.8553719,0.8429752,0.8264463,0.8347107,0.838843
226,0.23966943,0.2644628,0.446281,0.7355372,0.8595041,0.8429752,0.8347107,0.8305785
225,0.7107438,0.74793386,0.76859504,0.7768595,0.7768595,0.7768595,0.7933884,0.80991733
245,0.61570245,0.6859504,0.71487606,0.73966944,0.7355372,0.75206614,0.75206614,0.73966944
285,0.6694215,0.6652893,0.6942149,0.70247936,0.7107438,0.73966944,0.76033056,0.77272725
266,0.2231405,0.30165288,0.39256197,0.45867768,0.5,0.5123967,0.5165289,0.5041322
391,0.25619835,0.2644628,0.2603306,0.46694216,0.72727275,0.8140496,0.822314,0.8181818
67,0.73966944,0.74793386,0.76033056,0.76859504,0.7768595,0.78512394,0.7933884,0.8140496
267,0.42975205,0.45041323,0.49586776,0.5289256,0.57024795,0.59090906,0.59917355,0.59917355
127,0.47933885,0.5495868,0.6280992,0.69008267,0.677686,0.6528926,0.6404959,0.6363636
49,0.5123967,0.56198347,0.60330576,0.6570248,0.6818182,0.6983471,0.7231405,0.75206614
193,0.3553719,0.4090909,0.5,0.6322314,0.7066116,0.74380165,0.74793386,0.7644628
170,0.59504133,0.661157,0.69008267,0.7066116,0.7231405,0.73140496,0.7355372,0.7644628
251,0.5413223,0.553719,0.58264464,0.6198347,0.6322314,0.6694215,0.70247936,0.72727275
344,0.5,0.4876033,0.5371901,0.57438016,0.59504133,0.59504133,0.6280992,0.6446281
173,0.13636364,0.23966943,0.3429752,0.446281,0.5495868,0.6404959,0.677686,0.6942149
288,0.16115703,0.20247933,0.26859504,0.33471075,0.38429752,0.39256197,0.3966942,0.41322315
81,0.446281,0.49586776,0.5247934,0.5289256,0.5247934,0.5289256,0.5289256,0.5371901
399,0.6280992,0.60330576,0.6280992,0.7231405,0.70247936,0.6942149,0.6983471,0.71487606
187,0.33471075,0.3305785,0.3429752,0.2892562,0.23553719,0.1983471,0.1322314,0.14049587
141,0.4876033,0.5082645,0.5082645,0.5247934,0.5413223,0.553719,0.56198347,0.57438016
140,0.61157024,0.661157,0.6859504,0.70247936,0.7066116,0.6983471,0.71900827,0.73966944
2,0.7231405,0.7107438,0.71487606,0.73140496,0.7355372,0.75206614,0.77272725,0.7933884
50,0.5206612,0.5495868,0.58677685,0.59090906,0.607438,0.61157024,0.6487603,0.661157
206,0.23966943,0.3677686,0.49173555,0.53305787,0.5247934,0.5289256,0.56198347,0.58264464
262,0.5371901,0.60330576,0.6528926,0.6652893,0.6735537,0.6735537,0.7107438,0.7355372
152,0.677686,0.677686,0.6818182,0.7066116,0.73140496,0.73966944,0.75619835,0.7644628
335,0.12809917,0.18595041,0.24793388,0.3140496,0.38842976,0.46280992,0.5206612,0.55785125
104,0.6322314,0.6487603,0.6363636,0.6280992,0.6487603,0.6404959,0.6487603,0.6280992
337,0.18595041,0.12809917,0.11570248,0.1322314,0.18595041,0.26859504,0.4338843,0.5413223
160,0.4338843,0.46694216,0.5247934,0.53305787,0.553719,0.553719,0.55785125,0.5785124
84,0.4214876,0.45041323,0.5123967,0.53305787,0.5041322,0.5247934,0.5247934,0.5495868
63,0.42975205,0.4752066,0.5123967,0.5247934,0.5413223,0.57024795,0.5371901,0.5661157
232,0.28099173,0.19421488,0.30165288,0.4876033,0.53305787,0.5413223,0.5413223,0.58264464
212,0.1983471,0.17768595,0.18181819,0.18181819,0.19008264,0.28099173,0.5123967,0.661157
258,0.2603306,0.35123968,0.43801653,0.553719,0.6487603,0.6942149,0.74793386,0.7892562
55,0.553719,0.57438016,0.58677685,0.60330576,0.61157024,0.6404959,0.6570248,0.661157
365,0.61157024,0.6446281,0.6570248,0.6694215,0.6735537,0.7107438,0.7355372,0.75619835
233,0.4752066,0.56198347,0.6322314,0.661157,0.6859504,0.70247936,0.70247936,0.7355372
42,0.74380165,0.75619835,0.7644628,0.77272725,0.78099173,0.78512394,0.79752064,0.8016529
360,0.13636364,0.12396694,0.10743801,0.11157025,0.12396694,0.12396694,0.12396694,0.12809917
316,0.4338843,0.5206612,0.5041322,0.5247934,0.5785124,0.5785124,0.59917355,0.607438
60,0.1570248,0.1570248,0.15289256,0.15289256,0.1570248,0.18595041,0.15289256,0.3553719
144,0.41322315,0.4752066,0.4338843,0.5371901,0.5206612,0.5165289,0.553719,0.5123967
137,0.5289256,0.55785125,0.57438016,0.5289256,0.5247934,0.58264464,0.6198347,0.6528926
334,0.45041323,0.6694215,0.7892562,0.79752064,0.8264463,0.8553719,0.8595041,0.8595041
291,0.23966943,0.24793388,0.32231405,0.3181818,0.446281,0.7066116,0.8305785,0.8471074
186,0.54545456,0.61157024,0.6404959,0.6570248,0.6363636,0.6487603,0.69008267,0.6694215
118,0.6487603,0.6322314,0.70247936,0.71487606,0.76033056,0.7768595,0.7892562,0.8016529
236,0.58677685,0.70247936,0.73140496,0.73140496,0.74380165,0.77272725,0.7933884,0.8140496
93,0.21900827,0.22727273,0.3966942,0.4876033,0.5041322,0.5123967,0.5371901,0.59917355
302,0.3264463,0.32231405,0.3140496,0.30578512,0.25619835,0.18181819,0.42561984,0.5247934
149,0.47107437,0.5123967,0.49173555,0.49586776,0.5413223,0.5206612,0.57024795,0.6198347
274,0.23140496,0.2231405,0.20661157,0.20661157,0.1983471,0.18181819,0.21900827,0.2231405
136,0.5,0.5123967,0.5289256,0.5206612,0.5165289,0.5289256,0.5661157,0.59917355
257,0.17768595,0.24380165,0.29338843,0.29338843,0.38016528,0.5413223,0.6942149,0.70247936
36,0.28099173,0.3140496,0.35950413,0.38016528,0.39256197,0.42561984,0.46280992,0.5
397,0.6859504,0.6983471,0.70247936,0.7066116,0.7066116,0.71487606,0.72727275,0.74380165
289,0.55785125,0.60330576,0.6570248,0.6859504,0.7231405,0.73966944,0.76033056,0.77272725
353,0.28512397,0.37603307,0.45454547,0.5247934,0.5785124,0.6694215,0.7107438,0.72727275
66,0.24380165,0.1983471,0.56198347,0.677686,0.74380165,0.77272725,0.79752064,0.8057851
310,0.6694215,0.6363636,0.6487603,0.6859504,0.7107438,0.76033056,0.76859504,0.8057851
48,0.33471075,0.40495867,0.4752066,0.5371901,0.56198347,0.553719,0.58677685,0.62396693
132,0.6322314,0.677686,0.6735537,0.7107438,0.73966944,0.75619835,0.77272725,0.78099173
357,0.54545456,0.5371901,0.54545456,0.59090906,0.6198347,0.6446281,0.6694215,0.6528926
196,0.45454547,0.47107437,0.5123967,0.55785125,0.59504133,0.6404959,0.6818182,0.70247936
56,0.38016528,0.39256197,0.41322315,0.5661157,0.59090906,0.59090906,0.6322314,0.69008267
238,0.38429752,0.2231405,0.2231405,0.30578512,0.42975205,0.5082645,0.55785125,0.58677685
85,0.2231405,0.23966943,0.23140496,0.1983471,0.17355372,0.17355372,0.17355372,0.2603306
253,0.30578512,0.30578512,0.5495868,0.6652893,0.6570248,0.6735537,0.677686,0.73966944
348,0.18595041,0.16528925,0.1694215,0.28099173,0.42561984,0.4876033,0.5123967,0.57438016
382,0.3305785,0.27272728,0.23966943,0.49586776,0.7933884,0.7768595,0.76859504,0.7933884
361,0.11570248,0.1446281,0.25619835,0.39256197,0.53305787,0.60330576,0.677686,0.6818182
223,0.17355372,0.1322314,0.11157025,0.2892562,0.5,0.57024795,0.6198347,0.6859504
315,0.1983471,0.29752067,0.47933885,0.5165289,0.5289256,0.5247934,0.57024795,0.61157024
294,0.3966942,0.60330576,0.7644628,0.79752064,0.8140496,0.8429752,0.8553719,0.8553719
234,0.2603306,0.19421488,0.1446281,0.3140496,0.48347107,0.5082645,0.5247934,0.57438016
34,0.56198347,0.56198347,0.553719,0.55785125,0.5661157,0.57024795,0.57024795,0.553719
35,0.74380165,0.77272725,0.8016529,0.8140496,0.8264463,0.8305785,0.8264463,0.8347107
133,0.1446281,0.2107438,0.28512397,0.3429752,0.39256197,0.40495867,0.4090909,0.41322315
27,0.6694215,0.677686,0.6735537,0.6735537,0.6570248,0.6363636,0.6487603,0.6446281
252,0.21900827,0.23553719,0.2520661,0.3264463,0.39256197,0.553719,0.71487606,0.71487606
307,0.33471075,0.38842976,0.49173555,0.62396693,0.7355372,0.7644628,0.75619835,0.7644628
203,0.3553719,0.45867768,0.5661157,0.62396693,0.6487603,0.6528926,0.6942149,0.7231405
190,0.46280992,0.46280992,0.4214876,0.42561984,0.45041323,0.46280992,0.4752066,0.5289256
320,0.36363637,0.33471075,0.38016528,0.37603307,0.39256197,0.42561984,0.47933885,0.57024795
286,0.12396694,0.12809917,0.11570248,0.13636364,0.11570248,0.10743801,0.11570248,0.11570248
330,0.19008264,0.25619835,0.3553719,0.42561984,0.49586776,0.5165289,0.57438016,0.6280992
279,0.23553719,0.3181818,0.38016528,0.40495867,0.446281,0.46280992,0.49173555,0.48347107
362,0.5247934,0.49173555,0.5371901,0.6528926,0.6942149,0.6983471,0.6942149,0.71487606
182,0.58677685,0.59504133,0.6818182,0.6942149,0.71487606,0.6983471,0.71487606,0.72727275
277,0.7231405,0.7231405,0.72727275,0.73140496,0.7355372,0.74380165,0.7644628,0.76859504
151,0.76859504,0.75619835,0.74380165,0.74380165,0.75206614,0.74793386,0.7355372,0.70247936
366,0.16115703,0.12396694,0.2107438,0.30165288,0.37603307,0.42561984,0.45041323,0.49173555
